105267,(as Lilija Sjinkarjova),,3012749,[Aunt Anna]
107406,(as Tomas Neumann),,3012749,[Witek]
108594,(as Oleg Rogatjov),,3012749,[Natasha's dad]
111284,,,3012749,[Man in Sweden #5]
118784,,,3012749,
121060,,,3012749,[Man in hotel room]
131535,,,3012749,[Man in Sweden #10]
134463,,,3012749,[Cashier #2]
136853,(as Maria Karlsson),,3012749,
141583,,,3012749,[Man in Sweden #4]
146003,,,3012749,[Go Go-dancer #1]
2827,(voice),,3012885,[Additional Voice]
5741,(voice),,3012885,[Jumba]
8110,(voice),,3012885,[Cobra Bubbles]
13646,(voice),,3012885,[Additional Voice]
13997,(voice),,3012885,[Captain Gantu]
16790,(voice),,3012885,[Additional Voice]
21960,(voice),,3012885,[Lilo]
23325,(voice),,3012885,[Additional Voice]
23621,(voice),(as Mary-Linda Phillips),3012885,[Additional Voice]
23915,(voice),,3012885,[Additional Voice]
38917,(voice),,3012885,[Additional Voice]
39862,(voice),(as Doug Store),3012885,[Additional Voice]
41612,(voice),,3012885,[Additional Voice]
43151,(voice),,3012885,[Additional Voice]
54859,(voice),(as Daamen Krall),3012885,[Additional Voice]
58067,(voice),,3012885,[Additional Voice]
58121,(voice),,3012885,[Additional Voice]
63255,(voice),,3012885,[Additional Voice]
64275,(voice),(as Barbara Iley),3012885,[Additional Voice]
65926,(voice),(as Valerie Flueger),3012885,[Additional Voice]
67248,(voice),,3012885,[Additional Voice]
67377,(voice),,3012885,[Pleakley]
69653,(voice),,3012885,[Mrs. Hasagawa]
71031,(voice),,3012885,[Additional Voice]
75486,(voice),(as Drew Lexi Thomas),3012885,[Additional Voice]
75695,(voice),,3012885,[Additional Voice]
81066,(voice),,3012885,[Additional Voice]
85332,(voice),(as T. Aszur Hill),3012885,[Additional Voice]
92895,(voice),(as Miranda Walls),3012885,[Additional Voice]
95435,(voice),,3012885,[David Kawena]
99342,(voice),,3012885,[Additional Voice]
100539,(voice),(as Christopher Michael Sanders),3012885,[Stitch]
102529,(voice),(as Judi Durand),3012885,[Additional Voice]
103113,(voice),,3012885,[Additional Voice]
104413,(voice),,3012885,[Additional Voice]
106076,(voice),,3012885,[Additional Voice]
106638,(voice),,3012885,[Grand Councilwoman]
107054,(voice),,3012885,[Additional Voice]
114035,(voice),,3012885,[Additional Voice]
119043,(voice),(as Catherine Cavadini),3012885,[Additional Voice]
120090,(voice),,3012885,[Additional Voice]
125748,(voice),,3012885,[Additional Voice]
127465,(voice),,3012885,[Additional Voice]
132395,(voice),(as Steven Jay Blum),3012885,[Additional Voice]
138200,(voice),,3012885,[Rescue Lady]
141339,(voice),,3012885,[Additional Voice]
143538,(voice),(as Robert Bergen),3012885,[Additional Voice]
143565,(voice),,3012885,[Additional Voice]
145723,(voice),,3012885,[Nani]
148433,(voice),(as Debra Jean Rogers),3012885,[Additional Voice]
324,(uncredited),,3013398,[Page]
841,(as Joseph Dellinger),,3013398,[Nelson Merrick]
1094,(uncredited),,3013398,[Radical Repulican Rep]
1249,,,3013398,[Senator Charles Sumner]
1294,(uncredited),,3013398,[Bevill Dean - Clerk]
